continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Europe,Austria,44079,28869,374,300.857,735,0,0.286,3205.387,41.526,33.405,81.609,0,0.032,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54
Asia,Azerbaijan,44079,37031,132,149.286,543,2,2.286,3652.27,13.019,14.724,53.555,0.197,0.225,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73
North America,Bahamas,44079,2386,0,47,50,0,1.429,6067.418,0,119.517,127.146,0,3.633,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92
Asia,Bahrain,44079,53433,626,331.429,194,4,0.714,31401.936,367.893,194.777,114.011,2.351,0.42,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29
Asia,Bangladesh,44079,321615,1929,2117.286,4412,29,34,1952.858,11.713,12.856,26.79,0.176,0.206,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59
North America,Barbados,44079,178,1,1.714,7,0,0,619.408,3.48,5.965,24.359,0,0,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
Europe,Belarus,44079,72485,183,162.714,701,5,4.857,7670.922,19.366,17.22,74.185,0.529,0.514,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79
Europe,Belgium,44079,87080,0,286,9901,0,2.429,7513.623,0,24.677,854.299,0,0.21,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63
North America,Belize,44079,1152,34,40.286,15,2,0.429,2897.231,85.509,101.317,37.724,5.03,1.078,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62
Africa,Benin,44079,2194,0,7,40,0,0,180.975,0,0.577,3.299,0,0,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77
