location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Nigeria,03-09-2020,54463,1027,264.204,4.982,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69
Georgia,03-09-2020,1548,19,388.05,4.763,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77
Chad,03-09-2020,1017,77,61.915,4.688,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24
Singapore,03-09-2020,56860,27,9719.088,4.615,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62
New Zealand,03-09-2020,1408,22,291.981,4.562,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29
Guinea,03-09-2020,9479,59,721.781,4.493,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6
Cote d'Ivoire,03-09-2020,18161,117,688.483,4.435,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78
South Sudan,03-09-2020,2532,47,226.198,4.199,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85
Malaysia,03-09-2020,9360,128,289.192,3.955,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16
Togo,03-09-2020,1434,30,173.215,3.624,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04
Angola,03-09-2020,2729,109,83.033,3.316,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15
Benin,03-09-2020,2194,40,180.975,3.299,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77
China,03-09-2020,89953,4727,62.497,3.284,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91
Democratic Republic of Congo,03-09-2020,10113,258,112.917,2.881,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68
Niger,03-09-2020,1177,69,48.623,2.85,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
Burkina Faso,03-09-2020,1378,55,65.923,2.631,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58
Botswana,03-09-2020,1724,6,733.11,2.551,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59
Fiji,03-09-2020,29,2,32.35,2.231,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44
Western Sahara,03-09-2020,766,1,1282.373,1.674,597330,,28.4,,1.38,,,,,,,,,70.26
Jordan,03-09-2020,2161,15,211.798,1.47,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53
Rwanda,03-09-2020,4218,17,325.659,1.313,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02
Thailand,03-09-2020,3427,58,49.097,0.831,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15
Mozambique,03-09-2020,4117,25,131.721,0.8,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85
Uganda,03-09-2020,3112,32,68.035,0.7,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37
Sri Lanka,03-09-2020,3101,12,144.817,0.56,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98
Papua New Guinea,03-09-2020,471,5,52.643,0.559,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5
Vietnam,03-09-2020,1046,35,10.746,0.36,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4
Tanzania,03-09-2020,509,21,8.521,0.352,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46
Taiwan,03-09-2020,489,7,20.532,0.294,23816775,,42.2,,8.353,,,103.957,,,,,,80.46
Myanmar,03-09-2020,1058,6,19.445,0.11,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13
Burundi,03-09-2020,448,1,37.676,0.084,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58
Anguilla,03-09-2020,3,0,199.973,0,15002,,,,,,,,,,,,,81.88
Falkland Islands,03-09-2020,13,0,3732.415,0,3483,,,,,,,,,,,,,81.44
Faeroe Islands,03-09-2020,411,0,8410.928,0,48865,35.308,,,,,,,,,,,,80.67
Gibraltar,03-09-2020,295,0,8756.048,0,33691,3457.1,,,,,,,,,,,,79.93
Bonaire Sint Eustatius and Saba,03-09-2020,18,0,686.473,0,26221,,,,,,,,,,,,,77.79
French Polynesia,03-09-2020,596,0,2121.721,0,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
New Caledonia,03-09-2020,23,0,80.563,0,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
Saint Kitts and Nevis,03-09-2020,17,0,319.597,0,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23
Saint Lucia,03-09-2020,26,0,141.59,0,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2
Vatican,03-09-2020,12,0,14833.127,0,809,,,,,,,,,,,,,75.12
Dominica,03-09-2020,20,0,277.813,0,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75
Seychelles,03-09-2020,136,0,1382.957,0,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4
Saint Vincent and the Grenadines,03-09-2020,61,0,549.812,0,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53
Grenada,03-09-2020,24,0,213.297,0,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4
Bhutan,03-09-2020,227,0,294.189,0,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78
Greenland,03-09-2020,14,0,246.6,0,56772,0.137,,,,,,199.941,2.16,,,,,71.7
Mongolia,03-09-2020,306,0,93.341,0,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87
Cambodia,03-09-2020,274,0,16.389,0,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82
Timor,03-09-2020,27,0,20.479,0,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5
Laos,03-09-2020,22,0,3.024,0,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92
Eritrea,03-09-2020,319,0,89.95,0,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32
